,week,venue,attendance,referee,home goals,away goals,home win?,draw?,away win?,home win odds,draw odds,away win odds,shots on goal,offsides,yellow cards,,
116,247,Molineux Stadium (Wolverhampton),31585,RobinsonT.,1,0,True,False,False,3.2,3.25,2.37,11,4,2,,
117,247,Anfield (Liverpool),53027,TierneyP.,2,0,True,False,False,1.52,4.5,6.2,7,4,5,,
118,247,Tottenham Hotspur Stadium (London),61613,AttwellS.,2,0,True,False,False,2.9,3.35,2.55,5,2,5,,
119,247,Selhurst Park (London),25842,EnglandD.,0,0,False,True,False,5,4.1,1.68,4,5,7,,
120,247,Vitality Stadium (Bournemouth),10481,TierneyP.,1,4,False,False,True,9.8,5.8,1.31,7,3,4,,
121,247,Goodison Park (Liverpool),39309,TaylorA.,0,2,False,False,True,2.6,3.15,2.95,10,1,3,,
122,247,Elland Road (Leeds),36641,BankesP.,1,0,True,False,False,1.97,3.65,3.85,6,5,6,,
123,247,King Power Stadium (Leicester),32227,PawsonC.,0,1,False,False,True,5.6,4.4,1.58,2,8,1,,
124,246,London Stadium (London),62469,GillettJ.,4,0,True,False,False,1.7,3.8,5.4,8,2,0,,
125,246,Tottenham Hotspur Stadium (London),61476,OliverM.,2,0,True,False,False,1.87,3.55,4.4,7,0,3,,
126,246,Old Trafford (Manchester),73578,AttwellS.,3,0,True,False,False,1.56,4.6,5.6,11,1,2,,
127,246,St. James' Park (Newcastle),52758,TaylorA.,0,2,False,False,True,2.5,3.5,2.85,11,3,2,,
128,246,Brentford Community Stadium (London),17122,TierneyP.,1,1,False,True,False,1.82,3.6,4.7,9,5,4,,
129,246,Amex Stadium (Brighton),31619,EnglandD.,0,1,False,False,True,1.53,4.5,6,9,4,5,,
130,246,Stamford Bridge (London),40152,CooteD.,0,1,False,False,True,1.43,4.8,7.6,10,4,9,,
131,246,Goodison Park (Liverpool),39232,MadleyA.,1,0,True,False,False,2.8,3.2,2.7,6,1,5,,
132,246,City Ground (Nottingham),29365,ScottG.,1,1,False,True,False,11,6,1.27,7,2,1,,
133,246,Molineux Stadium (Wolverhampton),31222,SalisburyM.,0,1,False,False,True,1.82,3.65,4.6,5,2,6,,
134,245,Anfield (Liverpool),53027,HooperS.,2,0,True,False,False,1.6,4.3,5.6,7,6,4,,
135,245,Etihad Stadium (Manchester),53392,JonesR.,3,1,True,False,False,1.32,5.8,9.2,11,5,3,,
136,245,Elland Road (Leeds),36919,TierneyP.,0,2,False,False,True,3.65,3.8,1.99,11,6,3,,
137,245,Vitality Stadium (Bournemouth),10419,AttwellS.,1,1,False,True,False,5.6,4,1.63,12,7,5,,
138,245,Emirates Stadium (London),60254,BankesP.,1,1,False,True,False,1.51,4.5,6.4,9,2,2,,
139,245,Selhurst Park (London),24827,OliverM.,1,1,False,True,False,4.7,3.65,1.8,8,5,5,,
140,245,Craven Cottage (London),24244,MadleyA.,2,0,True,False,False,1.94,3.55,4.2,4,4,1,,
141,245,King Power Stadium (Leicester),32184,SalisburyM.,4,1,True,False,False,3.5,3.7,2.06,11,4,7,,
142,245,St. Mary's Stadium (Southampton),29751,GillettJ.,1,2,False,False,True,3.05,3.2,2.5,4,3,6,,
143,245,Tottenham Hotspur Stadium (London),61747,MadleyA.,1,0,True,False,False,4,3.95,1.91,8,3,7,,
144,244,City Ground (Nottingham),29363,JonesR.,1,0,True,False,False,2.75,3.4,2.6,6,5,6,,
145,244,St. James' Park (Newcastle),52256,BankesP.,1,1,False,True,False,1.68,3.9,5.4,3,2,3,,
146,244,Villa Park (Birmingham),42055,EnglandD.,2,4,False,False,True,2.11,3.55,3.55,9,10,3,,
147,244,Brentford Community Stadium (London),17051,BondD.,3,0,True,False,False,1.75,3.75,4.9,10,3,3,,
148,244,Amex Stadium (Brighton),31600,PawsonC.,1,0,True,False,False,1.39,5.2,7.8,8,1,4,,
149,244,Old Trafford (Manchester),73420,MarrinerA.,2,1,True,False,False,1.39,5,8.4,8,5,3,,
150,244,Molineux Stadium (Wolverhampton),31664,TierneyP.,3,0,True,False,False,3.9,3.75,1.93,10,3,2,,
151,244,Goodison Park (Liverpool),39314,CooteD.,1,0,True,False,False,7.4,4.4,1.48,7,3,5,,
152,244,Craven Cottage (London),24190,TierneyP.,0,1,False,False,True,3.2,3.8,2.15,8,2,4,,
153,244,Emirates Stadium (London),60325,TaylorA.,3,2,True,False,False,1.88,3.85,4.2,9,5,3,,
154,243,Elland Road (Leeds),36260,BankesP.,0,0,False,True,False,2.39,3.55,2.95,5,2,4,,
155,243,Etihad Stadium (Manchester),53282,CooteD.,3,0,True,False,False,1.26,6.4,11,8,1,3,,
156,243,Selhurst Park (London),25350,PawsonC.,0,0,False,True,False,4.4,3.65,1.85,8,1,6,,
157,243,Vitality Stadium (Bournemouth),10248,MadleyA.,1,1,False,True,False,2.8,3.2,2.7,9,4,3,,
158,243,King Power Stadium (Leicester),32056,BramallT.,2,2,False,True,False,4.1,3.95,1.84,6,2,1,,
159,243,St. Mary's Stadium (Southampton),30158,SalisburyM.,0,1,False,False,True,2.7,3.2,2.85,10,3,3,,
160,243,London Stadium (London),62470,AttwellS.,2,0,True,False,False,1.86,3.6,4.5,6,3,2,,
161,243,Etihad Stadium (Manchester),53088,HooperS.,4,2,True,False,False,1.51,4.9,6.2,9,1,3,,
162,243,Tottenham Hotspur Stadium (London),61870,PawsonC.,0,2,False,False,True,3.4,3.5,2.23,12,3,6,,
163,243,Stamford Bridge (London),40075,BankesP.,1,0,True,False,False,1.88,3.45,4.6,10,4,7,,
164,242,St. James' Park (Newcastle),52247,JonesR.,1,0,True,False,False,1.5,4.7,6.4,5,5,4,,
165,242,Brentford Community Stadium (London),17031,GillettJ.,2,0,True,False,False,1.64,4,5.6,6,3,2,,
166,242,Amex Stadium (Brighton),31645,EnglandD.,3,0,True,False,False,2.85,3.75,2.36,11,6,4,,
167,242,Goodison Park (Liverpool),39305,BrooksJ.,1,2,False,False,True,2.39,3.2,3.2,9,5,3,,
168,242,City Ground (Nottingham),29301,TierneyP.,2,0,True,False,False,2.75,3.15,2.8,6,3,3,,
169,242,Molineux Stadium (Wolverhampton),31511,HooperS.,1,0,True,False,False,2.55,3.15,3.05,8,5,2,,
170,242,Old Trafford (Manchester),75546,AttwellS.,2,1,True,False,False,4,3.95,1.9,5,8,3,,
171,242,Stamford Bridge (London),39998,TierneyP.,0,1,False,False,True,5.2,4.2,1.66,5,3,2,,
172,242,Villa Park (Birmingham),39978,GillettJ.,1,1,False,True,False,1.96,3.45,4.1,7,5,4,,
173,242,Selhurst Park (London),25132,OliverM.,0,4,False,False,True,3.3,3.4,2.27,10,3,3,,
