,venue,venue capacity,attendance,referee,home team,away team,month,home team status,away team status,home goals,away goals,home win?,draw?,away win?,home win odds,draw odds,away win odds,shots on goal,offsides,yellow cards
833,Fisht Olympic Stadium (Sochi),47659.0,6138,VoloshinN.(Rus),Sochi,Tambov,11,3,3,1,2,False,False,True,2.04,3.26,3.86,5,2,5
834,VTB Arena (Moscow),26121.0,10092,LapochkinS.(Rus),Dynamo Moscow,Akhmat Grozny,11,3,3,1,1,False,True,False,1.71,3.48,5.5,7,4,10
835,Krasnodar Stadium (Krasnodar),35179.0,30638,MatyuninA.(Rus),Krasnodar,Orenburg,10,3,3,1,1,False,True,False,1.56,4.51,5.43,9,1,1
836,VEB Arena (Moscow),30457.0,20019,KarasevS.(Rus),CSKA Moscow,Dynamo Moscow,10,3,3,0,1,False,False,True,1.91,3.49,4.29,8,2,4
837,RZD Arena (Moscow),27084.0,22863,EskovA.(Rus),Lokomotiv Moscow,Spartak Moscow,10,3,3,0,3,False,False,True,2.01,3.48,4.0,10,2,6
838,Samara Arena (Samara),44918.0,32560,VasiljevS.(Rus),Krylya Sovetov,Zenit,10,3,3,0,2,False,False,True,4.69,3.84,1.75,13,1,3
839,Rostov Arena (Rostov),43472.0,33716,TurbinE.(Rus),FK Rostov,Sochi,10,3,3,2,0,True,False,False,1.59,3.99,5.69,16,6,2
840,Akhmat-Arena (Groznyj),30597.0,11265,VoloshinN.(Rus),Akhmat Grozny,Arsenal Tula,10,3,3,1,1,False,True,False,2.37,3.18,3.14,5,3,6
841,Mordovia Arena (Saransk),44442.0,1751,LapochkinS.(Rus),Tambov,Ufa,10,3,3,3,0,True,False,False,2.71,2.83,3.01,4,4,8
842,VTB Arena (Moscow),26121.0,15374,VilkovM.(Rus),Dynamo Moscow,Krasnodar,10,3,3,1,1,False,True,False,2.65,3.27,2.76,10,1,8
843,Stadion Arsenal (Tula),20048.0,11475,MeshkovV.(Rus),Arsenal Tula,Sochi,10,3,3,1,1,False,True,False,2.14,3.3,3.52,12,2,10
844,BetBoom Arena (Ufa),15132.0,11282,VoloshinN.(Rus),Ufa,CSKA Moscow,10,3,3,1,1,False,True,False,4.99,3.44,1.8,11,3,2
845,Gazovik Stadium (Orenburg),4800.0,4311,KazartsevV.(Rus),Orenburg,Krylya Sovetov,10,3,3,0,1,False,False,True,2.29,3.28,3.19,17,3,6
846,Gazprom Arena (Saint Petersburg),67800.0,58639,KarasevS.(Rus),Zenit,FK Rostov,10,3,3,6,1,True,False,False,1.46,4.61,6.92,12,3,7
847,Otkrytiye Arena (Moscow),45360.0,26844,LapochkinS.(Rus),Spartak Moscow,Rubin Kazan,10,3,3,0,0,False,True,False,1.6,4.15,5.57,13,1,4
848,Mordovia Arena (Saransk),44442.0,1883,PaninI.(Rus),Tambov,Ural,10,3,3,1,2,False,False,True,2.73,3.2,2.66,7,1,3
849,Krasnodar Stadium (Krasnodar),35179.0,32238,MeshkovV.(Rus),Krasnodar,Spartak Moscow,10,3,3,2,1,True,False,False,1.82,3.86,4.41,7,3,9
850,VEB Arena (Moscow),30457.0,18456,KazartsevV.(Rus),CSKA Moscow,FK Rostov,10,3,3,1,3,False,False,True,1.71,3.77,5.13,15,3,3
851,RZD Arena (Moscow),27084.0,11204,LapochkinS.(Rus),Lokomotiv Moscow,Arsenal Tula,10,3,3,2,1,True,False,False,1.57,4.13,5.99,7,2,7
852,Yekaterinburg Arena (Yekaterinburg),25000.0,22432,VoloshinN.(Rus),Ural,Zenit,10,3,3,1,3,False,False,True,6.23,4.45,1.52,9,5,0
853,Fisht Olympic Stadium (Sochi),47659.0,7127,MatyuninA.(Rus),Sochi,Krylya Sovetov,10,3,3,0,2,False,False,True,2.16,3.27,3.5,8,1,6
854,Central Stadium (Kazan),25400.0,2585,EskovA.(Rus),Rubin Kazan,Tambov,10,3,3,2,1,True,False,False,2.04,3.11,4.1,10,1,7
855,Gazovik Stadium (Orenburg),4800.0,4062,KukuyanP.(Rus),Orenburg,Dynamo Moscow,10,3,3,2,0,True,False,False,3.02,3.08,2.5,11,2,5
856,Fisht Olympic Stadium (Sochi),47659.0,7127,EskovA.(Rus),Sochi,Akhmat Grozny,09,3,3,2,0,True,False,False,2.19,3.16,3.54,12,1,7
857,Krasnodar Stadium (Krasnodar),35179.0,25516,KazartsevV.(Rus),Krasnodar,Arsenal Tula,09,3,3,2,0,True,False,False,1.48,4.6,6.58,10,0,3
858,Otkrytiye Arena (Moscow),45360.0,20817,VasiljevS.(Rus),Spartak Moscow,Orenburg,09,3,3,1,2,False,False,True,1.8,3.68,4.61,10,4,5
859,Central Stadium (Kazan),25400.0,3814,MatyuninA.(Rus),Rubin Kazan,Ufa,09,3,3,0,0,False,True,False,2.7,2.9,2.94,3,2,5
860,Yekaterinburg Arena (Yekaterinburg),25000.0,20130,KukuyanP.(Rus),Ural,CSKA Moscow,09,3,3,0,3,False,False,True,4.89,3.87,1.72,11,10,2
861,RZD Arena (Moscow),27084.0,21598,VilkovM.(Rus),Lokomotiv Moscow,Zenit,09,3,3,1,0,True,False,False,2.98,3.31,2.52,4,7,4
862,Rostov Arena (Rostov),43472.0,29990,TurbinE.(Rus),FK Rostov,Dynamo Moscow,09,3,3,3,0,True,False,False,2.15,3.2,3.62,9,5,7
863,VEB Arena (Moscow),30457.0,21026,BezborodovV.(Rus),CSKA Moscow,Krasnodar,09,3,3,3,2,True,False,False,2.19,3.44,3.47,12,4,5
864,Stadion Arsenal (Tula),20048.0,7256,MeshkovV.(Rus),Arsenal Tula,Ural,09,3,3,1,1,False,True,False,2.02,3.41,3.73,9,4,2
865,VTB Arena (Moscow),26121.0,10119,LapochkinS.(Rus),Dynamo Moscow,Sochi,09,3,3,2,3,False,False,True,1.63,3.77,5.73,12,4,3
866,Gazovik Stadium (Orenburg),4800.0,4854,IvanovS.(Rus),Orenburg,Lokomotiv Moscow,09,3,3,2,3,False,False,True,3.35,3.23,2.29,11,1,3
867,Mordovia Arena (Saransk),44442.0,3258,KazartsevV.(Rus),Tambov,FK Rostov,09,3,3,2,1,True,False,False,4.97,3.48,1.76,10,2,6
868,Gazprom Arena (Saint Petersburg),67800.0,43598,KarasevS.(Rus),Zenit,Rubin Kazan,09,3,3,5,0,True,False,False,1.25,5.96,12.0,10,6,1
869,Akhmat-Arena (Groznyj),30597.0,8737,VasiljevS.(Rus),Akhmat Grozny,Krylya Sovetov,09,3,3,1,1,False,True,False,2.04,3.25,3.88,8,1,5
870,Rostov Arena (Rostov),43472.0,28722,VoloshinN.(Rus),FK Rostov,Akhmat Grozny,09,3,3,2,1,True,False,False,1.65,3.68,5.73,12,6,1
871,VTB Arena (Moscow),26121.0,9538,MeshkovV.(Rus),Dynamo Moscow,Ufa,09,3,3,0,0,False,True,False,1.55,3.86,7.07,11,4,3
872,Krasnodar Stadium (Krasnodar),35179.0,26131,KarasevS.(Rus),Krasnodar,Krylya Sovetov,09,3,3,4,2,True,False,False,1.46,4.58,7.04,12,2,6
873,Mordovia Arena (Saransk),44442.0,17145,VilkovM.(Rus),Tambov,CSKA Moscow,09,3,3,0,2,False,False,True,6.49,4.05,1.55,10,2,5
874,Gazovik Stadium (Orenburg),4800.0,4767,LapochkinS.(Rus),Orenburg,Rubin Kazan,09,3,3,2,1,True,False,False,2.0,3.22,4.0,9,4,6
875,Fisht Olympic Stadium (Sochi),47659.0,13900,PaninI.(Rus),Sochi,Lokomotiv Moscow,09,3,3,0,1,False,False,True,4.45,3.52,1.83,8,3,5
876,Otkrytiye Arena (Moscow),45360.0,24198,IvanovS.(Rus),Spartak Moscow,Ural,09,3,3,1,2,False,False,True,1.5,4.49,6.45,10,3,6
877,Otkrytiye Arena (Moscow),45360.0,43382,MeshkovV.(Rus),Spartak Moscow,Zenit,09,3,3,0,1,False,False,True,3.36,3.45,2.23,8,7,7
878,Stadion Arsenal (Tula),20048.0,8347,TurbinE.(Rus),Arsenal Tula,CSKA Moscow,09,3,3,1,2,False,False,True,4.47,3.38,1.9,15,1,3
879,Yekaterinburg Arena (Yekaterinburg),25000.0,18388,SukhoyVasilievichA.(Rus),Ural,Krasnodar,09,3,3,2,4,False,False,True,3.34,3.52,2.17,8,4,3
880,Akhmat-Arena (Groznyj),30597.0,8743,KarasevS.(Rus),Akhmat Grozny,Tambov,08,3,3,1,1,False,True,False,2.02,3.18,4.08,7,2,4
881,RZD Arena (Moscow),27084.0,19356,LapochkinS.(Rus),Lokomotiv Moscow,FK Rostov,08,3,3,1,2,False,False,True,1.75,3.6,5.13,9,4,5
882,Central Stadium (Kazan),25400.0,8845,VoloshinN.(Rus),Rubin Kazan,Sochi,08,3,3,0,3,False,False,True,2.11,3.09,3.88,8,4,6
883,BetBoom Arena (Ufa),15132.0,6892,PaninI.(Rus),Ufa,Orenburg,08,3,3,1,2,False,False,True,2.44,2.83,3.42,15,1,7
884,Yekaterinburg Arena (Yekaterinburg),25000.0,10171,KarasevS.(Rus),Ural,Sochi,08,3,3,3,1,True,False,False,2.38,3.16,3.14,8,4,3
885,Stadion Arsenal (Tula),20048.0,8347,SukhoyVasilievichA.(Rus),Arsenal Tula,Orenburg,08,3,3,2,1,True,False,False,2.06,3.19,3.91,16,3,1
886,Rostov Arena (Rostov),43472.0,35031,MeshkovV.(Rus),FK Rostov,Rubin Kazan,08,3,3,2,1,True,False,False,1.85,3.25,4.83,12,3,1
887,Samara Arena (Samara),44918.0,32286,LapochkinS.(Rus),Krylya Sovetov,Spartak Moscow,08,3,3,1,2,False,False,True,2.99,3.3,2.45,9,3,9
888,VEB Arena (Moscow),30457.0,18508,KazartsevV.(Rus),CSKA Moscow,Akhmat Grozny,08,3,3,3,0,True,False,False,1.57,3.86,6.67,8,2,7
889,Krasnodar Stadium (Krasnodar),35179.0,31231,BezborodovV.(Rus),Krasnodar,Lokomotiv Moscow,08,3,3,1,1,False,True,False,2.77,3.35,2.66,8,3,5
890,BetBoom Arena (Ufa),15132.0,13368,IvanovS.(Rus),Ufa,Zenit,08,3,3,1,0,True,False,False,5.36,3.6,1.72,9,7,7
891,Otkrytiye Arena (Moscow),45360.0,44434,KarasevS.(Rus),Spartak Moscow,CSKA Moscow,08,3,3,2,1,True,False,False,2.55,3.39,2.87,11,2,3
892,VTB Arena (Moscow),26121.0,17837,KazartsevV.(Rus),Dynamo Moscow,Lokomotiv Moscow,08,3,3,1,2,False,False,True,3.24,3.08,2.43,13,3,7
893,BetBoom Arena (Ufa),15132.0,8532,TurbinE.(Rus),Ufa,FK Rostov,08,3,3,2,0,True,False,False,2.99,2.89,2.67,5,5,6
894,Central Stadium (Kazan),25400.0,10022,BezborodovV.(Rus),Rubin Kazan,Arsenal Tula,08,3,3,1,0,True,False,False,2.34,2.99,3.41,6,5,4
895,Gazprom Arena (Saint Petersburg),67800.0,48468,MatyuninA.(Rus),Zenit,Akhmat Grozny,08,3,3,0,0,False,True,False,1.33,5.15,10.0,8,7,6
896,Mordovia Arena (Saransk),44442.0,7115,VoloshinN.(Rus),Tambov,Krasnodar,08,3,3,0,2,False,False,True,4.79,3.62,1.79,7,1,5
897,Yekaterinburg Arena (Yekaterinburg),25000.0,22304,IvanovS.(Rus),Ural,Krylya Sovetov,08,3,3,1,3,False,False,True,2.37,3.2,3.13,12,2,7
898,Rostov Arena (Rostov),43472.0,28674,KazartsevV.(Rus),FK Rostov,Krylya Sovetov,08,3,3,1,0,True,False,False,1.62,3.8,5.79,7,1,3
899,Akhmat-Arena (Groznyj),30597.0,17832,SukhoyVasilievichA.(Rus),Akhmat Grozny,Spartak Moscow,08,3,3,1,3,False,False,True,2.39,3.23,3.07,8,2,6
900,VEB Arena (Moscow),30457.0,17995,MeshkovV.(Rus),CSKA Moscow,Sochi,08,3,3,0,0,False,True,False,1.35,4.88,9.16,8,5,4
901,RZD Arena (Moscow),27084.0,14181,VoloshinN.(Rus),Lokomotiv Moscow,Ural,08,3,3,4,0,True,False,False,1.56,4.01,6.14,11,3,4
902,Stadion Arsenal (Tula),20048.0,11340,VilkovM.(Rus),Arsenal Tula,Ufa,08,3,3,1,0,True,False,False,2.03,3.25,3.94,6,2,2
903,VTB Arena (Moscow),26121.0,19095,TurbinE.(Rus),Dynamo Moscow,Zenit,08,3,3,0,2,False,False,True,3.56,3.15,2.2,8,5,8
904,Krasnodar Stadium (Krasnodar),35179.0,25826,LapochkinS.(Rus),Krasnodar,Rubin Kazan,08,3,3,1,0,True,False,False,1.63,3.78,5.76,5,1,7
905,Akhmat-Arena (Groznyj),30597.0,30597,VoloshinN.(Rus),Akhmat Grozny,Orenburg,08,3,3,2,1,True,False,False,1.82,3.41,4.8,3,6,5
906,Fisht Olympic Stadium (Sochi),47659.0,11100,SukhoyVasilievichA.(Rus),Sochi,Ufa,08,3,3,0,0,False,True,False,2.35,3.05,3.34,4,5,4
907,Central Stadium (Kazan),25400.0,20791,KazartsevV.(Rus),Rubin Kazan,CSKA Moscow,08,3,3,0,1,False,False,True,4.05,3.19,2.08,8,2,6
908,Mordovia Arena (Saransk),44442.0,4332,IvanovS.(Rus),Tambov,Arsenal Tula,08,3,3,0,1,False,False,True,2.57,3.05,2.98,5,5,6
909,Gazprom Arena (Saint Petersburg),67800.0,54708,EskovA.(Rus),Zenit,Krasnodar,08,3,3,1,1,False,True,False,1.72,4.11,4.84,8,2,6
910,Otkrytiye Arena (Moscow),45360.0,34389,BezborodovV.(Rus),Spartak Moscow,Dynamo Moscow,08,3,3,0,0,False,True,False,2.85,3.15,2.68,9,2,7
911,Samara Arena (Samara),44918.0,22459,TurbinE.(Rus),Krylya Sovetov,Lokomotiv Moscow,08,3,3,1,2,False,False,True,4.33,3.31,1.97,12,4,7
912,Central Stadium (Kazan),25400.0,11342,IvanovS.(Rus),Rubin Kazan,Akhmat Grozny,07,3,3,1,0,True,False,False,2.87,2.85,2.83,12,6,5
913,VEB Arena (Moscow),30457.0,27897,BezborodovV.(Rus),CSKA Moscow,Lokomotiv Moscow,07,3,3,1,0,True,False,False,2.24,3.3,3.56,5,3,6
914,Stadion Arsenal (Tula),20048.0,9654,MatyuninA.(Rus),Arsenal Tula,FK Rostov,07,3,3,2,3,False,False,True,2.98,3.04,2.58,13,2,6
915,Gazovik Stadium (Orenburg),4800.0,6626,KarasevS.(Rus),Orenburg,Zenit,07,3,3,0,2,False,False,True,5.36,3.67,1.72,9,4,5
916,Krasnodar Stadium (Krasnodar),35179.0,32177,LapochkinS.(Rus),Krasnodar,Sochi,07,3,3,3,0,True,False,False,1.36,5.16,8.94,13,4,5
917,Mordovia Arena (Saransk),44442.0,23238,VilkovM.(Rus),Tambov,Spartak Moscow,07,3,3,2,0,True,False,False,4.76,3.5,1.83,8,3,7
918,BetBoom Arena (Ufa),15132.0,6543,KazartsevV.(Rus),Ufa,Krylya Sovetov,07,3,3,2,1,True,False,False,2.36,3.02,3.35,8,2,3
919,Fisht Olympic Stadium (Sochi),47659.0,35102,MatyuninA.(Rus),Sochi,Zenit,07,3,3,0,2,False,False,True,5.04,3.82,1.75,6,3,2
920,VTB Arena (Moscow),26121.0,17315,MeshkovV.(Rus),Dynamo Moscow,Rubin Kazan,07,3,3,0,1,False,False,True,1.83,3.3,5.26,12,3,10
921,RZD Arena (Moscow),27084.0,10187,VasiljevS.(Rus),Lokomotiv Moscow,Tambov,07,3,3,2,1,True,False,False,1.43,4.62,8.81,8,5,7
922,Yekaterinburg Arena (Yekaterinburg),25000.0,15611,SuchyA.(Rus),Ural,Akhmat Grozny,07,3,3,3,0,True,False,False,2.84,3.04,2.77,10,4,2
923,Rostov Arena (Rostov),43472.0,35865,LevnikovK.(Rus),FK Rostov,Spartak Moscow,07,3,3,2,2,False,True,False,2.51,3.1,3.2,12,2,5
924,VEB Arena (Moscow),30457.0,15082,TurbinE.(Rus),CSKA Moscow,Orenburg,07,3,3,2,1,True,False,False,1.42,4.55,9.49,8,2,6
925,Samara Arena (Samara),44918.0,15780,KukuyanP.(Rus),Krylya Sovetov,Arsenal Tula,07,3,3,2,3,False,False,True,2.32,3.06,3.54,12,1,8
926,RZD Arena (Moscow),27084.0,10732,VilkovM.(Rus),Lokomotiv Moscow,Rubin Kazan,07,3,3,1,1,False,True,False,1.61,3.81,6.79,10,4,5
927,Akhmat-Arena (Groznyj),30597.0,27535,MeshkovV.(Rus),Akhmat Grozny,Krasnodar,07,3,3,1,0,True,False,False,3.71,3.32,2.16,8,4,7
928,Gazprom Arena (Saint Petersburg),67800.0,46231,EskovA.(Rus),Zenit,Tambov,07,3,3,2,1,True,False,False,1.21,7.87,13.0,8,1,4
929,Samara Arena (Samara),44918.0,25287,LevnikovK.(Rus),Krylya Sovetov,CSKA Moscow,07,3,3,2,0,True,False,False,5.23,3.42,1.82,8,2,4
930,Rostov Arena (Rostov),43472.0,14584,BezborodovV.(Rus),FK Rostov,Orenburg,07,3,3,2,1,True,False,False,2.1,3.03,4.3,9,1,5
931,Otkrytiye Arena (Moscow),45360.0,29892,MoskalevV.(Rus),Spartak Moscow,Sochi,07,3,3,1,0,True,False,False,1.44,4.77,7.95,9,3,6
932,Yekaterinburg Arena (Yekaterinburg),25000.0,14614,KarasevS.(Rus),Ural,Ufa,07,3,3,3,2,True,False,False,2.18,3.04,3.95,11,0,1
933,Yekaterinburg Arena (Yekaterinburg),25000.0,3458,VasiljevS.(Rus),Ural,Lokomotiv Moscow,07,3,3,0,1,False,False,True,3.07,3.63,2.25,10,2,10
934,Krasnodar Stadium (Krasnodar),35179.0,3518,VilkovM.(Rus),Krasnodar,Dynamo Moscow,07,3,3,0,2,False,False,True,1.6,3.97,5.91,8,3,5
935,Yekaterinburg Arena (Yekaterinburg),25000.0,3372,VoloshinN.(Rus),Ural,Arsenal Tula,07,3,3,1,3,False,False,True,2.28,3.32,3.29,11,2,10
936,Stadion Arsenal (Tula),20048.0,1712,KukuyanP.(Rus),Arsenal Tula,Tambov,07,3,3,2,1,True,False,False,2.39,3.21,3.18,5,2,3
937,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,500,IvanovS.(Rus),Tambov,Akhmat Grozny,07,3,3,1,2,False,False,True,3.03,3.19,2.49,5,5,8
938,VTB Arena (Moscow),26121.0,2254,BezborodovV.(Rus),Dynamo Moscow,Arsenal Tula,07,3,3,0,1,False,False,True,2.18,3.22,3.62,10,1,10
939,RZD Arena (Moscow),27084.0,2700,SukhoyVasilievichA.(Rus),Lokomotiv Moscow,Krylya Sovetov,06,3,3,1,1,False,True,False,1.46,4.58,7.06,11,2,12
940,Akhmat-Arena (Groznyj),30597.0,2878,KarasevS.(Rus),Akhmat Grozny,Sochi,06,3,3,1,1,False,True,False,2.94,3.26,2.51,9,3,2
941,Samara Arena (Samara),44918.0,4107,EskovA.(Rus),Krylya Sovetov,Akhmat Grozny,06,3,3,2,4,False,False,True,2.78,2.87,2.97,15,0,5
942,Akhmat-Arena (Groznyj),30597.0,13232,MeshkovV.(Rus),Akhmat Grozny,Dynamo Moscow,03,3,3,2,3,False,False,True,3.22,2.97,2.45,9,0,8
943,Fisht Olympic Stadium (Sochi),47659.0,5147,TurbinE.(Rus),Sochi,Orenburg,03,3,3,5,1,True,False,False,2.29,3.25,3.22,12,2,1
944,Gazovik Stadium (Orenburg),4800.0,2457,KukuyanP.(Rus),Orenburg,Arsenal Tula,03,3,3,2,0,True,False,False,2.25,3.2,3.35,6,1,9
945,Samara Arena (Samara),44918.0,8139,MeshkovV.(Rus),Krylya Sovetov,Orenburg,02,3,3,1,1,False,True,False,2.79,3.08,2.69,7,2,6
946,Gazprom Arena (Saint Petersburg),67800.0,48367,VoloshinN.(Rus),Zenit,Dynamo Moscow,12,3,3,3,0,True,False,False,1.54,4.16,6.52,8,4,4
947,Samara Arena (Samara),44918.0,5349,VasiljevS.(Rus),Krylya Sovetov,Ufa,11,3,3,0,1,False,False,True,2.68,2.8,3.08,15,7,4
948,Mordovia Arena (Saransk),44442.0,4038,KukuyanP.(Rus),Tambov,Lokomotiv Moscow,11,3,3,2,3,False,False,True,4.01,3.33,2.02,8,7,2
949,Akhmat-Arena (Groznyj),30597.0,12474,IvanovS.(Rus),Akhmat Grozny,Ural,11,3,3,0,0,False,True,False,1.89,3.44,4.24,5,6,2
950,BetBoom Arena (Ufa),15132.0,6157,TurbinE.(Rus),Ufa,Lokomotiv Moscow,11,3,3,1,1,False,True,False,4.17,3.07,2.09,9,7,9
951,Central Stadium (Kazan),25400.0,5086,MeshkovV.(Rus),Rubin Kazan,Ural,10,3,3,0,0,False,True,False,2.22,3.37,3.24,10,1,7
952,Akhmat-Arena (Groznyj),30597.0,13776,VasiljevS.(Rus),Akhmat Grozny,Lokomotiv Moscow,10,3,3,0,2,False,False,True,2.7,3.18,2.78,10,2,4
953,BetBoom Arena (Ufa),15132.0,7538,BezborodovV.(Rus),Ufa,Akhmat Grozny,10,3,3,0,1,False,False,True,2.31,2.93,3.56,9,6,4
954,Samara Arena (Samara),44918.0,10126,IvanovS.(Rus),Krylya Sovetov,Tambov,09,3,3,2,0,True,False,False,1.87,3.39,4.43,9,1,12
955,BetBoom Arena (Ufa),15132.0,10809,SukhoyVasilievichA.(Rus),Ufa,Spartak Moscow,09,3,3,1,0,True,False,False,3.34,3.09,2.37,6,4,7
956,Gazprom Arena (Saint Petersburg),67800.0,42431,KukuyanP.(Rus),Zenit,Arsenal Tula,09,3,3,3,1,True,False,False,1.32,5.16,10.0,10,3,4
957,Samara Arena (Samara),44918.0,14728,BezborodovV.(Rus),Krylya Sovetov,Dynamo Moscow,08,3,3,0,0,False,True,False,3.6,3.11,2.2,6,3,5
958,Mordovia Arena (Saransk),44442.0,4816,PaninI.(Rus),Tambov,Dynamo Moscow,08,3,3,0,2,False,False,True,4.02,3.18,2.03,12,0,3
959,Gazovik Stadium (Orenburg),4800.0,4411,VilkovM.(Rus),Orenburg,Sochi,08,3,3,1,1,False,True,False,2.29,3.1,3.38,9,3,6
960,Gazovik Stadium (Orenburg),4800.0,4076,KukuyanP.(Rus),Orenburg,Tambov,08,3,3,2,2,False,True,False,1.82,3.4,4.76,15,3,3
961,Yekaterinburg Arena (Yekaterinburg),25000.0,35061,VasiljevS.(Rus),Ural,FK Rostov,08,3,3,2,2,False,True,False,2.84,3.09,2.65,11,3,5
962,VTB Arena (Moscow),26121.0,17315,KukuyanP.(Rus),Dynamo Moscow,Ural,07,3,3,2,0,True,False,False,1.67,3.68,5.54,9,2,3
963,BetBoom Arena (Ufa),15132.0,6725,EskovA.(Rus),Ufa,Krasnodar,07,3,3,2,3,False,False,True,4.69,3.41,1.9,10,4,4
964,Stadion Arsenal (Tula),20048.0,14742,LapochkinS.(Rus),Arsenal Tula,Dynamo Moscow,07,3,3,1,1,False,True,False,3.45,2.97,2.41,8,5,3
965,Samara Arena (Samara),44918.0,23441,KarasevS.(Rus),Krylya Sovetov,Pari NN,06,3,3,0,1,False,False,True,1.63,3.91,5.59,11,2,5
966,Stadion Trud (Tomsk),10028.0,6210,VilkovM.(Rus),Tomsk,Ufa,06,3,3,1,0,True,False,False,3.7,2.81,2.36,3,1,5
967,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,21800,LapochkinS.(Rus),Pari NN,Krylya Sovetov,05,3,3,1,3,False,False,True,3.52,2.84,2.41,9,3,5
968,Akhmat-Arena (Groznyj),30597.0,8630,KazartsevV.(Rus),Akhmat Grozny,FK Rostov,05,3,3,1,0,True,False,False,2.29,3.12,3.42,5,7,7
969,VEB Arena (Moscow),30457.0,22053,MeshkovV.(Rus),CSKA Moscow,Krylya Sovetov,05,3,3,6,0,True,False,False,1.26,5.77,11.0,9,5,0
970,VTB Arena (Moscow),26121.0,23340,BezborodovV.(Rus),Dynamo Moscow,Arsenal Tula,05,3,3,3,3,False,True,False,1.83,3.5,4.59,12,1,6
971,Anzhi Arena (Kaspijsk),26500.0,2250,TurbinE.(Rus),FK Anzi Makhackala,Ural,05,3,3,0,2,False,False,True,4.47,3.73,1.79,10,1,2
972,Krasnodar Stadium (Krasnodar),35179.0,34897,MoskalevV.(Rus),Krasnodar,Rubin Kazan,05,3,3,1,0,True,False,False,1.28,5.42,10.0,10,4,5
973,RZD Arena (Moscow),27084.0,18183,IvanovS.(Rus),Lokomotiv Moscow,Ufa,05,3,3,1,0,True,False,False,1.26,5.79,11.0,8,7,2
974,Gazovik Stadium (Orenburg),4800.0,6927,LevnikovK.(Rus),Orenburg,Spartak Moscow,05,3,3,2,0,True,False,False,3.51,3.53,2.12,15,4,7
975,Ak Bars Arena (Kazan),45093.0,5405,KarasevS.(Rus),Rubin Kazan,FK Anzi Makhackala,05,3,3,0,0,False,True,False,1.21,6.09,13.0,5,2,2
976,Rostov Arena (Rostov),43472.0,35586,KukuyanP.(Rus),FK Rostov,Zenit,05,3,3,1,0,True,False,False,2.65,3.23,2.83,7,1,4
977,Stadion Arsenal (Tula),20048.0,14470,MeshkovV.(Rus),Arsenal Tula,Krasnodar,05,3,3,0,3,False,False,True,3.85,3.53,2.01,8,3,4
978,Tsentralnyi Stadion (Krasnoyarsk),15000.0,7658,VilkovM.(Rus),Yenisey,Dynamo Moscow,05,3,3,2,2,False,True,False,5.67,3.7,1.66,13,3,2
979,Yekaterinburg Arena (Yekaterinburg),25000.0,20647,MoskalevV.(Rus),Ural,Lokomotiv Moscow,05,3,3,2,2,False,True,False,7.27,4.48,1.44,15,2,4
980,Samara Arena (Samara),44918.0,37276,KazartsevV.(Rus),Krylya Sovetov,Spartak Moscow,05,3,3,1,2,False,False,True,3.46,3.24,2.26,6,3,8
981,VEB Arena (Moscow),30457.0,15813,LevnikovK.(Rus),CSKA Moscow,Akhmat Grozny,05,3,3,1,0,True,False,False,1.42,4.56,7.65,9,4,8
982,Gazprom Arena (Saint Petersburg),67800.0,61494,TurbinE.(Rus),Zenit,CSKA Moscow,05,3,3,3,1,True,False,False,2.25,3.37,3.35,9,8,8
983,Otkrytiye Arena (Moscow),45360.0,25538,KukuyanP.(Rus),Spartak Moscow,Ufa,05,3,3,1,0,True,False,False,1.87,3.38,4.58,8,9,4
984,Akhmat-Arena (Groznyj),30597.0,9962,VilkovM.(Rus),Akhmat Grozny,Krylya Sovetov,05,3,3,2,1,True,False,False,2.35,3.1,3.31,10,8,6
985,Tsentralnyi Stadion (Krasnoyarsk),15000.0,10409,MatyuninA.(Rus),Yenisey,Krasnodar,05,3,3,0,4,False,False,True,7.49,4.47,1.41,12,3,2
986,RZD Arena (Moscow),27084.0,13263,BezborodovV.(Rus),Lokomotiv Moscow,Rubin Kazan,05,3,3,4,0,True,False,False,1.57,3.63,7.27,9,1,5
987,Anzhi Arena (Kaspijsk),26500.0,2530,LapochkinS.(Rus),FK Anzi Makhackala,Arsenal Tula,05,3,3,0,1,False,False,True,8.18,4.46,1.39,8,3,4
988,VTB Arena (Moscow),26121.0,5497,MeshkovV.(Rus),Dynamo Moscow,FK Rostov,05,3,3,0,0,False,True,False,1.85,3.17,5.16,11,3,0
989,Rostov Arena (Rostov),43472.0,34044,KazartsevV.(Rus),FK Rostov,Krasnodar,05,3,3,1,1,False,True,False,3.41,3.18,2.26,11,1,5
990,VEB Arena (Moscow),30457.0,24482,KarasevS.(Rus),CSKA Moscow,Dynamo Moscow,05,3,3,2,2,False,True,False,1.81,3.45,4.81,14,1,4
991,Samara Arena (Samara),44918.0,15836,MeshkovV.(Rus),Krylya Sovetov,Ufa,05,3,3,1,1,False,True,False,2.51,2.93,3.22,5,3,3
992,Stadion Arsenal (Tula),20048.0,17782,TurbinE.(Rus),Arsenal Tula,Lokomotiv Moscow,05,3,3,2,0,True,False,False,3.62,3.2,2.17,5,2,3
993,Akhmat-Arena (Groznyj),30597.0,12894,MatyuninA.(Rus),Akhmat Grozny,Zenit,05,3,3,1,1,False,True,False,3.94,3.24,2.05,8,5,1
